launch_day,has_twitter,has_website,market_cap_decile,description_bin,treated_n,treated_graduation_mean,control_n,control_graduation_mean,att_cell
2026-05-08,0,0,9,short,1,0.0,45.0,0.0,0.0
2026-05-08,0,0,9,zero,1,0.0,157.0,0.0,0.0
2026-05-08,0,1,0,medium,1,0.0,1.0,0.0,0.0
2026-05-08,0,1,6,medium,1,0.0,17.0,0.0,0.0
2026-05-08,0,1,7,medium,1,0.0,8.0,0.0,0.0
2026-05-08,0,1,7,very_long,1,0.0,5.0,0.0,0.0
2026-05-08,0,1,9,medium,3,0.0,2.0,0.0,0.0
2026-05-08,1,0,0,short,2,0.0,33.0,0.0,0.0
2026-05-08,1,0,1,zero,1,0.0,31.0,0.0,0.0
2026-05-08,1,0,4,long,1,0.0,1.0,0.0,0.0
2026-05-08,1,0,4,short,1,0.0,10.0,0.0,0.0
2026-05-08,1,0,5,very_long,1,0.0,8.0,0.0,0.0
